 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.12.det_cont.csv,0.048,0.056,0.000,0.097,0.114,0.000,0.091,0.207,0.087,0.023,0.094,0.066,0.013,0.164,0.014,0.095,0.032,0.197,0.000,0.154,0.259,0.346,0.275,0.026,0.036,0.100,0.000,0.029,0.000,0.015
f_min.final_model.000.13.det_cont.csv,0.362,0.345,0.148,0.523,0.481,0.245,0.405,0.353,0.510,0.171,0.568,0.600,0.310,0.050,0.429,0.619,0.561,0.309,0.153,0.000,0.000,0.000,0.016,0.129,0.436,0.204,0.370,0.353,0.302,0.625
f_min.final_model.000.14.det_cont.csv,0.156,0.448,0.270,0.400,0.261,0.333,0.408,0.162,0.448,0.478,0.386,0.213,0.433,0.159,0.818,0.393,0.370,0.155,0.279,0.078,0.000,0.000,0.121,0.391,0.269,0.364,0.460,0.612,0.362,0.271
f_min.final_model.000.15.det_cont.csv,0.861,0.185,0.123,0.346,0.569,0.255,0.292,0.469,0.328,0.070,0.358,0.489,0.145,0.000,0.177,0.420,0.314,0.667,0.109,0.000,0.014,0.075,0.015,0.038,0.372,0.062,0.222,0.180,0.220,0.417
f_min.final_model.000.16.det_cont.csv,0.800,0.141,0.131,0.294,0.520,0.275,0.261,0.478,0.281,0.048,0.283,0.465,0.119,0.000,0.169,0.367,0.312,0.511,0.117,0.000,0.000,0.046,0.000,0.026,0.486,0.016,0.240,0.172,0.236,0.455
f_min.final_model.000.17.det_cont.csv,0.182,0.119,0.420,0.115,0.114,0.718,0.250,0.186,0.119,0.216,0.094,0.204,0.242,0.000,0.365,0.190,0.182,0.141,0.438,0.000,0.014,0.014,0.000,0.159,0.267,0.048,0.422,0.167,0.400,0.200
f_min.final_model.000.18.det_cont.csv,0.245,0.551,0.161,0.568,0.411,0.079,0.326,0.183,0.583,0.319,0.543,0.320,0.418,0.121,0.309,0.400,0.467,0.298,0.094,0.052,0.028,0.000,0.119,0.286,0.208,0.340,0.204,0.365,0.203,0.367
f_min.final_model.000.19.det_cont.csv,0.182,0.293,0.543,0.214,0.147,0.396,0.277,0.167,0.230,0.364,0.186,0.161,0.375,0.000,0.479,0.232,0.275,0.141,0.568,0.017,0.074,0.029,0.016,0.250,0.326,0.100,0.488,0.250,0.522,0.222
f_min.final_model.000.20.det_cont.csv,0.000,0.152,0.091,0.000,0.000,0.000,0.000,0.000,0.027,0.182,0.000,0.000,0.114,0.548,0.014,0.014,0.000,0.000,0.094,0.649,0.321,0.183,0.535,0.191,0.000,0.155,0.032,0.076,0.109,0.000
f_min.final_model.000.21.det_cont.csv,0.450,0.133,0.231,0.245,0.291,0.500,0.325,0.432,0.236,0.064,0.260,0.526,0.129,0.000,0.306,0.512,0.318,0.269,0.240,0.000,0.000,0.000,0.000,0.028,0.613,0.035,0.462,0.189,0.400,0.553
f_min.final_model.000.22.det_cont.csv,0.000,0.203,0.074,0.029,0.026,0.000,0.033,0.029,0.041,0.211,0.029,0.000,0.097,0.610,0.058,0.076,0.000,0.014,0.076,0.632,0.210,0.125,0.811,0.242,0.000,0.283,0.031,0.161,0.091,0.000
f_min.final_model.000.23.det_cont.csv,0.500,0.164,0.110,0.322,0.492,0.132,0.228,0.455,0.328,0.053,0.379,0.364,0.130,0.000,0.125,0.317,0.316,0.694,0.053,0.000,0.078,0.143,0.014,0.047,0.241,0.070,0.138,0.159,0.143,0.357
f_min.final_model.000.24.det_cont.csv,0.575,0.259,0.150,0.467,0.520,0.300,0.381,0.360,0.431,0.128,0.388,0.615,0.230,0.000,0.255,0.489,0.465,0.511,0.136,0.000,0.000,0.000,0.016,0.099,0.410,0.123,0.292,0.308,0.283,0.641
f_min.final_model.000.25.det_cont.csv,0.083,0.492,0.448,0.328,0.182,0.212,0.237,0.037,0.313,0.746,0.297,0.083,0.698,0.100,0.448,0.188,0.322,0.132,0.414,0.090,0.103,0.012,0.083,0.500,0.077,0.254,0.222,0.339,0.317,0.145
f_min.final_model.000.26.det_cont.csv,0.000,0.309,0.133,0.102,0.056,0.000,0.000,0.000,0.143,0.299,0.098,0.000,0.254,0.488,0.115,0.015,0.107,0.014,0.100,0.541,0.186,0.098,0.409,0.305,0.000,0.312,0.109,0.196,0.175,0.016
f_min.final_model.000.27.det_cont.csv,0.119,0.188,0.756,0.078,0.053,0.447,0.220,0.127,0.101,0.379,0.060,0.100,0.368,0.016,0.333,0.148,0.119,0.072,0.795,0.052,0.138,0.029,0.048,0.266,0.234,0.047,0.327,0.127,0.479,0.136
f_min.final_model.000.28.det_cont.csv,0.381,0.133,0.333,0.196,0.224,0.579,0.359,0.312,0.193,0.122,0.167,0.381,0.167,0.000,0.422,0.378,0.289,0.245,0.378,0.000,0.000,0.000,0.000,0.074,0.613,0.017,0.583,0.189,0.500,0.439
f_min.final_model.000.29.det_cont.csv,0.164,0.500,0.328,0.480,0.292,0.281,0.535,0.188,0.528,0.391,0.490,0.246,0.509,0.094,0.638,0.389,0.479,0.215,0.271,0.015,0.013,0.000,0.060,0.344,0.235,0.309,0.373,0.490,0.333,0.286
