 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.000,0.136,0.086,0.000,0.000,0.000,0.000,0.000,0.031,0.155,0.000,0.000,0.113,0.474,0.016,0.000,0.000,0.000,0.070,0.576,0.275,0.170,0.390,0.161,0.000,0.115,0.037,0.069,0.127,0.000
f_min.final_model.000.11.det_cont.csv,0.000,0.230,0.076,0.079,0.040,0.000,0.017,0.000,0.119,0.250,0.077,0.000,0.203,0.561,0.092,0.015,0.083,0.000,0.062,0.538,0.197,0.129,0.444,0.270,0.000,0.222,0.067,0.186,0.111,0.000
f_min.final_model.000.12.det_cont.csv,0.194,0.448,0.250,0.453,0.299,0.288,0.380,0.197,0.474,0.375,0.436,0.233,0.410,0.141,0.702,0.418,0.510,0.224,0.238,0.062,0.000,0.000,0.088,0.348,0.294,0.339,0.460,0.646,0.317,0.339
f_min.final_model.000.13.det_cont.csv,0.207,0.333,0.617,0.237,0.169,0.358,0.300,0.190,0.250,0.397,0.210,0.186,0.491,0.030,0.434,0.254,0.296,0.182,0.542,0.066,0.068,0.000,0.061,0.349,0.265,0.145,0.438,0.293,0.596,0.268
f_min.final_model.000.14.det_cont.csv,0.013,0.344,0.414,0.113,0.060,0.130,0.060,0.000,0.162,0.507,0.095,0.000,0.419,0.154,0.171,0.026,0.118,0.024,0.356,0.183,0.217,0.038,0.152,0.444,0.015,0.185,0.136,0.174,0.246,0.027
f_min.final_model.000.15.det_cont.csv,0.644,0.273,0.127,0.481,0.740,0.226,0.353,0.436,0.474,0.138,0.549,0.542,0.229,0.043,0.290,0.529,0.451,0.577,0.099,0.000,0.000,0.039,0.028,0.099,0.347,0.154,0.217,0.274,0.215,0.531
f_min.final_model.000.16.det_cont.csv,0.169,0.623,0.155,0.491,0.309,0.083,0.315,0.110,0.509,0.443,0.446,0.188,0.467,0.293,0.344,0.356,0.407,0.235,0.081,0.203,0.024,0.000,0.310,0.444,0.115,0.453,0.172,0.558,0.209,0.283
f_min.final_model.000.17.det_cont.csv,0.000,0.169,0.075,0.015,0.000,0.000,0.000,0.000,0.027,0.197,0.029,0.000,0.099,0.625,0.043,0.029,0.015,0.000,0.077,0.743,0.298,0.183,0.535,0.227,0.000,0.196,0.048,0.127,0.092,0.000
f_min.final_model.000.18.det_cont.csv,0.000,0.152,0.500,0.015,0.000,0.214,0.070,0.060,0.041,0.358,0.000,0.031,0.279,0.066,0.108,0.045,0.015,0.000,0.489,0.130,0.233,0.029,0.082,0.266,0.074,0.047,0.121,0.014,0.291,0.015
f_min.final_model.000.19.det_cont.csv,0.026,0.189,0.474,0.052,0.022,0.176,0.090,0.025,0.073,0.373,0.025,0.000,0.324,0.100,0.135,0.025,0.068,0.036,0.439,0.159,0.387,0.169,0.068,0.292,0.029,0.082,0.116,0.064,0.258,0.013
f_min.final_model.000.20.det_cont.csv,0.069,0.526,0.339,0.250,0.139,0.162,0.200,0.012,0.299,0.700,0.224,0.027,0.589,0.288,0.361,0.174,0.242,0.090,0.286,0.220,0.076,0.000,0.262,0.769,0.062,0.472,0.206,0.464,0.323,0.083
f_min.final_model.000.21.det_cont.csv,0.200,0.246,0.469,0.211,0.162,0.619,0.298,0.203,0.226,0.282,0.183,0.222,0.322,0.000,0.532,0.273,0.294,0.156,0.489,0.000,0.014,0.000,0.000,0.246,0.349,0.155,0.548,0.291,0.543,0.288
f_min.final_model.000.22.det_cont.csv,0.050,0.377,0.045,0.245,0.169,0.032,0.160,0.030,0.281,0.333,0.259,0.086,0.250,0.476,0.278,0.218,0.212,0.092,0.000,0.349,0.044,0.062,0.400,0.418,0.038,0.561,0.127,0.447,0.097,0.103
f_min.final_model.000.23.det_cont.csv,0.025,0.438,0.375,0.164,0.092,0.151,0.132,0.024,0.211,0.698,0.145,0.000,0.516,0.266,0.313,0.103,0.155,0.034,0.387,0.222,0.125,0.024,0.262,0.644,0.028,0.339,0.191,0.318,0.299,0.025
f_min.final_model.000.24.det_cont.csv,0.150,0.197,0.562,0.125,0.108,0.511,0.231,0.175,0.145,0.362,0.104,0.169,0.328,0.000,0.415,0.217,0.190,0.116,0.659,0.016,0.069,0.028,0.015,0.254,0.298,0.094,0.478,0.194,0.542,0.207
f_min.final_model.000.25.det_cont.csv,0.121,0.312,0.509,0.167,0.101,0.206,0.211,0.053,0.200,0.523,0.129,0.072,0.483,0.058,0.231,0.130,0.194,0.139,0.444,0.113,0.188,0.026,0.072,0.391,0.100,0.136,0.197,0.197,0.362,0.136
f_min.final_model.000.26.det_cont.csv,0.000,0.271,0.340,0.046,0.013,0.098,0.017,0.014,0.103,0.452,0.045,0.000,0.351,0.164,0.109,0.000,0.048,0.000,0.327,0.200,0.159,0.014,0.161,0.429,0.000,0.158,0.103,0.111,0.250,0.000
f_min.final_model.000.27.det_cont.csv,0.477,0.271,0.127,0.545,0.529,0.136,0.429,0.429,0.531,0.139,0.591,0.444,0.222,0.032,0.246,0.468,0.444,0.587,0.078,0.000,0.000,0.029,0.032,0.096,0.295,0.119,0.185,0.273,0.186,0.435
f_min.final_model.000.28.det_cont.csv,0.114,0.239,0.714,0.110,0.071,0.333,0.217,0.107,0.128,0.451,0.092,0.099,0.364,0.055,0.292,0.139,0.182,0.117,0.608,0.106,0.211,0.037,0.068,0.292,0.207,0.068,0.283,0.169,0.431,0.145
f_min.final_model.000.29.det_cont.csv,0.566,0.224,0.113,0.410,0.627,0.197,0.322,0.419,0.409,0.113,0.443,0.456,0.173,0.038,0.203,0.450,0.339,0.596,0.087,0.000,0.034,0.100,0.037,0.089,0.271,0.135,0.171,0.222,0.173,0.448
