 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.488,0.172,0.659,0.200,0.315,0.489,0.211,0.186,0.186,0.417,0.000,0.788,0.413,0.000,0.568,0.353,0.351,0.487,0.000,0.513,0.028,0.000,0.522,0.431,0.447,0.302,0.408,0.263
f_min.final_model.000.11.det_cont.csv,0.298,0.110,0.588,0.339,0.167,0.509,0.338,0.263,0.239,0.246,0.088,0.469,0.529,0.000,0.608,0.547,0.429,0.246,0.000,0.286,0.012,0.037,0.729,0.627,0.417,0.150,0.608,0.308
f_min.final_model.000.12.det_cont.csv,0.647,0.167,0.615,0.109,0.294,0.409,0.141,0.114,0.083,0.432,0.018,0.688,0.304,0.016,0.391,0.231,0.309,0.472,0.000,0.543,0.015,0.016,0.444,0.300,0.351,0.378,0.422,0.175
f_min.final_model.000.13.det_cont.csv,0.378,0.095,0.605,0.196,0.143,0.545,0.225,0.167,0.127,0.255,0.033,0.622,0.435,0.000,0.707,0.400,0.258,0.255,0.014,0.333,0.000,0.044,0.511,0.527,0.514,0.163,0.628,0.237
f_min.final_model.000.14.det_cont.csv,0.164,0.114,0.444,0.551,0.141,0.283,0.455,0.388,0.356,0.147,0.127,0.302,0.630,0.026,0.463,0.756,0.403,0.115,0.000,0.150,0.063,0.067,0.569,0.476,0.477,0.065,0.436,0.390
f_min.final_model.000.15.det_cont.csv,0.060,0.238,0.099,0.462,0.246,0.055,0.477,0.453,0.538,0.182,0.392,0.030,0.190,0.164,0.097,0.274,0.338,0.133,0.038,0.095,0.235,0.067,0.176,0.148,0.102,0.100,0.082,0.367
f_min.final_model.000.16.det_cont.csv,0.553,0.119,0.467,0.032,0.211,0.625,0.063,0.052,0.030,0.320,0.000,0.583,0.260,0.000,0.523,0.175,0.210,0.366,0.000,0.500,0.000,0.030,0.308,0.421,0.262,0.286,0.396,0.077
f_min.final_model.000.17.det_cont.csv,0.039,0.387,0.147,0.500,0.369,0.090,0.677,0.683,0.375,0.211,0.234,0.069,0.277,0.265,0.145,0.359,0.418,0.118,0.047,0.069,0.353,0.023,0.257,0.202,0.197,0.104,0.145,0.475
f_min.final_model.000.18.det_cont.csv,0.404,0.431,0.327,0.203,0.689,0.286,0.319,0.313,0.230,0.622,0.048,0.333,0.228,0.159,0.233,0.194,0.491,0.537,0.013,0.455,0.254,0.000,0.293,0.189,0.224,0.488,0.175,0.375
f_min.final_model.000.19.det_cont.csv,0.051,0.062,0.211,0.457,0.075,0.097,0.279,0.292,0.614,0.062,0.378,0.111,0.320,0.000,0.186,0.373,0.322,0.073,0.059,0.053,0.000,0.164,0.315,0.235,0.217,0.056,0.228,0.237
f_min.final_model.000.20.det_cont.csv,0.758,0.250,0.477,0.068,0.417,0.391,0.137,0.111,0.081,0.585,0.000,0.600,0.240,0.083,0.294,0.179,0.370,0.528,0.000,0.647,0.092,0.000,0.340,0.231,0.268,0.559,0.320,0.211
