 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv,model.000.25.det_cont.csv,model.000.26.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.725,0.459,0.145,0.500,0.093,0.076,0.386,0.164,0.595,0.390,0.051,0.525,0.056,0.169,0.055,0.000,0.069,0.176,0.585,0.014,0.571,0.088,0.149,0.053,0.500,0.090,0.730
f_min.final_model.000.11.det_cont.csv,0.123,0.094,0.136,0.016,0.284,0.271,0.204,0.193,0.068,0.089,0.000,0.102,0.356,0.633,0.558,0.327,0.535,0.306,0.113,0.000,0.066,0.258,0.528,0.561,0.031,0.453,0.030
f_min.final_model.000.12.det_cont.csv,0.149,0.192,0.145,0.046,0.286,0.254,0.232,0.358,0.063,0.102,0.000,0.062,0.312,0.527,0.545,0.327,0.628,0.417,0.106,0.026,0.076,0.262,0.441,0.581,0.000,0.446,0.059
f_min.final_model.000.13.det_cont.csv,0.083,0.086,0.476,0.025,0.576,0.603,0.153,0.323,0.025,0.039,0.000,0.051,0.690,0.441,0.678,0.153,0.424,0.281,0.061,0.080,0.042,0.600,0.547,0.262,0.000,0.508,0.012
f_min.final_model.000.14.det_cont.csv,0.321,0.405,0.169,0.161,0.338,0.246,0.535,0.380,0.280,0.378,0.000,0.294,0.286,0.528,0.390,0.031,0.426,0.667,0.373,0.000,0.242,0.274,0.519,0.300,0.115,0.279,0.190
f_min.final_model.000.15.det_cont.csv,0.312,0.371,0.250,0.500,0.169,0.140,0.310,0.381,0.293,0.159,0.000,0.170,0.111,0.129,0.092,0.000,0.077,0.227,0.255,0.000,0.246,0.172,0.145,0.059,0.163,0.155,0.318
f_min.final_model.000.16.det_cont.csv,0.548,0.389,0.098,0.600,0.083,0.031,0.390,0.132,0.774,0.432,0.000,0.541,0.043,0.161,0.043,0.000,0.055,0.143,0.564,0.000,0.460,0.061,0.141,0.057,0.341,0.045,0.538
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.015,0.000,0.026,0.015,0.000,0.000,0.000,0.000,0.395,0.000,0.014,0.014,0.027,0.341,0.034,0.018,0.000,0.373,0.087,0.014,0.014,0.094,0.034,0.029,0.016
f_min.final_model.000.18.det_cont.csv,0.720,0.340,0.100,0.328,0.138,0.086,0.472,0.174,0.520,0.451,0.097,0.560,0.107,0.274,0.133,0.000,0.145,0.283,0.608,0.060,0.593,0.123,0.221,0.132,0.509,0.084,0.588
f_min.final_model.000.19.det_cont.csv,0.000,0.016,0.436,0.046,0.385,0.339,0.000,0.125,0.000,0.000,0.148,0.000,0.292,0.037,0.149,0.131,0.000,0.046,0.000,0.270,0.000,0.344,0.118,0.000,0.000,0.174,0.000
f_min.final_model.000.20.det_cont.csv,0.224,0.264,0.500,0.304,0.439,0.474,0.213,0.426,0.200,0.129,0.000,0.121,0.435,0.271,0.324,0.088,0.172,0.217,0.182,0.024,0.184,0.450,0.364,0.123,0.118,0.458,0.222
f_min.final_model.000.21.det_cont.csv,0.254,0.280,0.246,0.250,0.353,0.286,0.365,0.609,0.169,0.136,0.000,0.127,0.323,0.410,0.475,0.060,0.469,0.458,0.210,0.000,0.208,0.333,0.403,0.296,0.074,0.361,0.175
f_min.final_model.000.22.det_cont.csv,0.262,0.319,0.339,0.193,0.406,0.339,0.438,0.714,0.196,0.226,0.000,0.169,0.355,0.377,0.393,0.000,0.373,0.511,0.259,0.000,0.214,0.414,0.393,0.214,0.044,0.328,0.143
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.111,0.000,0.141,0.129,0.000,0.000,0.000,0.000,0.109,0.000,0.154,0.172,0.152,0.622,0.109,0.000,0.000,0.183,0.000,0.090,0.101,0.204,0.000,0.220,0.000
f_min.final_model.000.24.det_cont.csv,0.000,0.000,0.074,0.000,0.105,0.090,0.016,0.000,0.000,0.017,0.067,0.016,0.130,0.279,0.234,0.615,0.185,0.069,0.015,0.088,0.026,0.070,0.179,0.319,0.016,0.230,0.000
f_min.final_model.000.25.det_cont.csv,0.000,0.033,0.509,0.045,0.468,0.429,0.014,0.141,0.000,0.000,0.127,0.000,0.328,0.090,0.211,0.148,0.029,0.078,0.000,0.266,0.000,0.431,0.178,0.000,0.000,0.242,0.000
f_min.final_model.000.26.det_cont.csv,0.611,0.286,0.085,0.258,0.176,0.127,0.386,0.188,0.400,0.389,0.127,0.491,0.175,0.343,0.188,0.013,0.231,0.300,0.482,0.084,0.532,0.165,0.284,0.182,0.473,0.138,0.491
f_min.final_model.000.27.det_cont.csv,0.111,0.182,0.673,0.183,0.525,0.439,0.125,0.316,0.094,0.079,0.014,0.029,0.381,0.130,0.205,0.091,0.043,0.145,0.086,0.137,0.114,0.491,0.205,0.029,0.028,0.273,0.136
f_min.final_model.000.28.det_cont.csv,0.471,0.277,0.069,0.347,0.100,0.055,0.457,0.129,0.625,0.500,0.015,0.558,0.108,0.302,0.169,0.031,0.193,0.269,0.651,0.000,0.431,0.096,0.258,0.222,0.278,0.053,0.373
f_min.final_model.000.29.det_cont.csv,0.000,0.000,0.086,0.000,0.074,0.041,0.000,0.000,0.000,0.000,0.489,0.000,0.038,0.013,0.012,0.200,0.015,0.000,0.000,0.750,0.065,0.039,0.000,0.066,0.097,0.026,0.045
