 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.17.det_cont.csv,0.404,0.588,0.421,0.116,0.404,0.317,0.481,0.447,0.688,0.358,0.339,0.390,0.905,0.222,0.260,0.283,0.574,0.577,0.037,0.197,0.316,0.460,0.012,0.232,0.118,0.389
f_min.final_model.000.18.det_cont.csv,0.400,0.574,0.349,0.066,0.305,0.339,0.473,0.333,0.545,0.338,0.277,0.387,0.585,0.110,0.232,0.108,0.393,0.792,0.011,0.219,0.463,0.400,0.022,0.156,0.141,0.386
f_min.final_model.000.19.det_cont.csv,0.203,0.463,0.317,0.293,0.651,0.453,0.500,0.200,0.580,0.561,0.604,0.455,0.418,0.364,0.418,0.320,0.358,0.356,0.188,0.339,0.177,0.578,0.133,0.383,0.297,0.197
f_min.final_model.000.20.det_cont.csv,0.145,0.299,0.243,0.064,0.274,0.349,0.383,0.213,0.381,0.293,0.269,0.313,0.387,0.078,0.226,0.057,0.231,0.375,0.000,0.264,0.227,0.436,0.033,0.138,0.152,0.141
f_min.final_model.000.21.det_cont.csv,0.707,0.500,0.444,0.121,0.207,0.070,0.194,0.413,0.300,0.086,0.152,0.179,0.351,0.233,0.093,0.275,0.315,0.463,0.038,0.038,0.756,0.129,0.012,0.155,0.012,0.846
f_min.final_model.000.22.det_cont.csv,0.179,0.396,0.175,0.207,0.435,0.636,0.400,0.130,0.574,0.500,0.636,0.389,0.404,0.228,0.343,0.220,0.288,0.339,0.085,0.418,0.133,0.886,0.067,0.322,0.258,0.153
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.012,0.219,0.000,0.013,0.000,0.000,0.000,0.057,0.000,0.064,0.000,0.013,0.167,0.000,0.000,0.000,0.288,0.089,0.027,0.000,0.467,0.089,0.103,0.000
f_min.final_model.000.24.det_cont.csv,0.370,0.614,0.449,0.175,0.615,0.278,0.457,0.450,0.651,0.306,0.380,0.385,0.591,0.241,0.243,0.318,0.641,0.532,0.088,0.154,0.300,0.432,0.013,0.271,0.103,0.383
f_min.final_model.000.25.det_cont.csv,0.103,0.221,0.106,0.475,0.284,0.353,0.364,0.080,0.270,0.600,0.353,0.484,0.224,0.268,0.803,0.157,0.130,0.203,0.426,0.607,0.073,0.387,0.389,0.531,0.581,0.086
f_min.final_model.000.26.det_cont.csv,0.436,0.455,0.524,0.176,0.366,0.107,0.277,0.417,0.422,0.138,0.240,0.250,0.370,0.250,0.127,0.378,0.676,0.354,0.098,0.062,0.289,0.191,0.014,0.214,0.030,0.450
f_min.final_model.000.27.det_cont.csv,0.191,0.219,0.254,0.371,0.350,0.279,0.250,0.152,0.290,0.356,0.450,0.406,0.189,0.441,0.419,0.434,0.242,0.139,0.373,0.388,0.107,0.246,0.234,0.661,0.409,0.186
f_min.final_model.000.28.det_cont.csv,0.286,0.246,0.420,0.288,0.340,0.062,0.155,0.318,0.268,0.191,0.302,0.143,0.228,0.558,0.192,0.568,0.422,0.180,0.276,0.087,0.182,0.125,0.116,0.293,0.154,0.327
