 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.000,0.000,0.012,0.014,0.000,0.015,0.000,0.014,0.000,0.014,0.047,0.016,0.000,0.000,0.013,0.043,0.037,0.151,0.029,0.100,0.000,0.068
f_min.final_model.000.18.det_cont.csv,0.709,0.385,0.593,0.361,0.174,0.310,0.217,0.075,0.473,0.093,0.300,0.163,0.564,0.585,0.519,0.192,0.155,0.071,0.097,0.127,0.236,0.500,0.279,0.066
f_min.final_model.000.19.det_cont.csv,0.012,0.016,0.000,0.057,0.260,0.063,0.119,0.481,0.000,0.328,0.062,0.312,0.000,0.000,0.000,0.182,0.239,0.171,0.274,0.014,0.039,0.000,0.095,0.571
f_min.final_model.000.20.det_cont.csv,0.250,0.259,0.242,0.254,0.470,0.290,0.429,0.439,0.328,0.500,0.298,0.508,0.123,0.231,0.190,0.729,0.453,0.403,0.441,0.134,0.232,0.165,0.345,0.348
f_min.final_model.000.21.det_cont.csv,0.338,0.226,0.386,0.407,0.469,0.410,0.638,0.234,0.345,0.338,0.246,0.458,0.274,0.185,0.161,0.429,0.343,0.377,0.377,0.281,0.344,0.328,0.291,0.184
f_min.final_model.000.22.det_cont.csv,0.371,0.260,0.426,0.510,0.438,0.448,0.705,0.305,0.358,0.349,0.211,0.500,0.262,0.154,0.186,0.444,0.375,0.367,0.348,0.203,0.311,0.381,0.278,0.239
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.000,0.122,0.119,0.000,0.115,0.000,0.152,0.000,0.087,0.000,0.000,0.000,0.062,0.179,0.217,0.183,0.265,0.203,0.000,0.000,0.215
f_min.final_model.000.24.det_cont.csv,0.013,0.000,0.014,0.030,0.147,0.200,0.015,0.076,0.000,0.113,0.000,0.083,0.109,0.000,0.016,0.059,0.171,0.267,0.243,0.383,0.298,0.095,0.000,0.093
f_min.final_model.000.25.det_cont.csv,0.036,0.032,0.013,0.087,0.329,0.090,0.134,0.560,0.014,0.410,0.061,0.328,0.000,0.013,0.000,0.234,0.271,0.221,0.324,0.014,0.080,0.023,0.094,0.648
f_min.final_model.000.26.det_cont.csv,0.638,0.327,0.500,0.400,0.229,0.343,0.250,0.061,0.390,0.131,0.215,0.205,0.582,0.491,0.429,0.143,0.210,0.136,0.144,0.191,0.304,0.617,0.215,0.077
f_min.final_model.000.27.det_cont.csv,0.128,0.158,0.111,0.149,0.397,0.160,0.300,0.702,0.172,0.443,0.200,0.475,0.053,0.147,0.106,0.446,0.338,0.232,0.352,0.042,0.107,0.071,0.263,0.542
f_min.final_model.000.28.det_cont.csv,0.509,0.386,0.562,0.385,0.169,0.344,0.197,0.042,0.400,0.051,0.314,0.123,0.531,0.377,0.545,0.152,0.162,0.081,0.110,0.190,0.322,0.466,0.314,0.024
f_min.final_model.000.29.det_cont.csv,0.000,0.000,0.000,0.000,0.035,0.013,0.000,0.104,0.000,0.038,0.000,0.025,0.014,0.029,0.000,0.014,0.037,0.039,0.047,0.097,0.027,0.024,0.000,0.164
