 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.255,0.180,0.258,0.480,0.328,0.245,0.413,0.442,0.250,0.536,0.136,0.483,0.345,0.592,0.175,0.258,0.109,0.426,0.484,0.531,0.350,0.145,0.542,0.132,0.509
f_min.final_model.000.11.det_cont.csv,0.161,0.159,0.097,0.271,0.708,0.117,0.579,0.101,0.152,0.160,0.259,0.450,0.056,0.129,0.079,0.549,0.161,0.239,0.297,0.333,0.519,0.286,0.119,0.087,0.286
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.000,0.000,0.119,0.000,0.107,0.000,0.000,0.231,0.000,0.127,0.283,0.014,0.000,0.108,0.000,0.306,0.219,0.062,0.071,0.000,0.062,0.000,0.233
f_min.final_model.000.13.det_cont.csv,0.083,0.043,0.082,0.316,0.323,0.015,0.343,0.169,0.056,0.450,0.030,0.554,0.415,0.317,0.030,0.339,0.014,0.796,0.714,0.462,0.323,0.043,0.364,0.000,0.528
f_min.final_model.000.14.det_cont.csv,0.421,0.476,0.581,0.231,0.109,0.514,0.162,0.383,0.625,0.206,0.676,0.086,0.123,0.283,0.629,0.030,0.564,0.027,0.062,0.140,0.291,0.605,0.185,0.333,0.111
f_min.final_model.000.15.det_cont.csv,0.310,0.340,0.255,0.413,0.385,0.188,0.404,0.179,0.347,0.149,0.450,0.328,0.083,0.232,0.234,0.278,0.348,0.219,0.265,0.435,0.674,0.442,0.204,0.149,0.291
f_min.final_model.000.16.det_cont.csv,0.032,0.014,0.000,0.136,0.577,0.000,0.429,0.013,0.013,0.087,0.046,0.381,0.000,0.068,0.000,0.580,0.014,0.239,0.280,0.206,0.281,0.075,0.042,0.024,0.191
f_min.final_model.000.17.det_cont.csv,0.378,0.400,0.689,0.309,0.097,0.455,0.160,0.587,0.622,0.400,0.300,0.167,0.286,0.520,0.477,0.041,0.353,0.164,0.177,0.237,0.197,0.278,0.440,0.292,0.182
f_min.final_model.000.18.det_cont.csv,0.320,0.345,0.538,0.288,0.078,0.388,0.167,0.571,0.375,0.354,0.169,0.189,0.288,0.538,0.302,0.053,0.281,0.187,0.212,0.222,0.122,0.159,0.382,0.419,0.171
f_min.final_model.000.19.det_cont.csv,0.304,0.236,0.370,0.707,0.262,0.292,0.371,0.449,0.340,0.367,0.260,0.390,0.273,0.609,0.235,0.175,0.196,0.297,0.338,0.479,0.400,0.264,0.556,0.155,0.382
f_min.final_model.000.20.det_cont.csv,0.193,0.118,0.302,0.258,0.076,0.250,0.134,0.386,0.215,0.385,0.076,0.169,0.345,0.491,0.183,0.051,0.087,0.264,0.237,0.197,0.104,0.071,0.393,0.250,0.167
f_min.final_model.000.21.det_cont.csv,0.405,0.634,0.460,0.113,0.070,0.356,0.091,0.296,0.458,0.125,0.348,0.052,0.062,0.197,0.442,0.014,0.571,0.012,0.023,0.094,0.169,0.320,0.095,0.620,0.071
f_min.final_model.000.22.det_cont.csv,0.250,0.212,0.302,0.512,0.180,0.213,0.231,0.404,0.294,0.426,0.184,0.328,0.444,0.533,0.160,0.095,0.127,0.368,0.387,0.404,0.263,0.170,0.711,0.100,0.365
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.000,0.231,0.000,0.158,0.000,0.000,0.037,0.000,0.118,0.028,0.000,0.000,0.222,0.000,0.089,0.093,0.042,0.053,0.000,0.000,0.024,0.053
f_min.final_model.000.24.det_cont.csv,0.486,0.395,0.650,0.378,0.113,0.500,0.167,0.575,0.575,0.321,0.410,0.138,0.240,0.467,0.486,0.031,0.405,0.119,0.137,0.235,0.302,0.372,0.378,0.254,0.172
f_min.final_model.000.25.det_cont.csv,0.154,0.122,0.156,0.441,0.533,0.116,0.613,0.229,0.162,0.386,0.099,0.702,0.250,0.369,0.068,0.508,0.065,0.508,0.656,0.536,0.438,0.123,0.371,0.054,0.422
f_min.final_model.000.26.det_cont.csv,0.500,0.432,0.475,0.196,0.088,0.516,0.111,0.366,0.514,0.175,0.548,0.047,0.122,0.283,0.548,0.017,0.576,0.030,0.041,0.120,0.240,0.486,0.170,0.314,0.089
f_min.final_model.000.27.det_cont.csv,0.228,0.238,0.183,0.379,0.381,0.143,0.508,0.174,0.266,0.373,0.327,0.460,0.231,0.200,0.159,0.312,0.222,0.409,0.443,0.446,0.642,0.328,0.231,0.108,0.564
f_min.final_model.000.28.det_cont.csv,0.300,0.364,0.269,0.240,0.211,0.256,0.222,0.167,0.370,0.088,0.719,0.156,0.051,0.138,0.375,0.158,0.475,0.071,0.092,0.189,0.438,0.735,0.088,0.194,0.115
