 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv,model.000.25.det_cont.csv,model.000.26.det_cont.csv
f_min.final_model.000.18.det_cont.csv,0.473,0.320,0.107,0.200,0.221,0.169,0.404,0.246,0.365,0.438,0.088,0.431,0.205,0.419,0.236,0.014,0.276,0.412,0.453,0.063,0.413,0.194,0.348,0.220,0.316,0.181,0.357
f_min.final_model.000.19.det_cont.csv,0.316,0.395,0.283,0.245,0.397,0.328,0.489,0.707,0.226,0.260,0.000,0.196,0.323,0.439,0.361,0.000,0.360,0.571,0.268,0.000,0.221,0.379,0.431,0.200,0.078,0.339,0.186
f_min.final_model.000.20.det_cont.csv,0.203,0.214,0.104,0.072,0.200,0.149,0.316,0.219,0.197,0.224,0.169,0.190,0.216,0.475,0.300,0.056,0.357,0.370,0.215,0.132,0.230,0.189,0.379,0.276,0.100,0.192,0.147
f_min.final_model.000.21.det_cont.csv,0.644,0.311,0.086,0.413,0.061,0.041,0.294,0.095,0.488,0.348,0.175,0.435,0.025,0.125,0.025,0.000,0.031,0.121,0.489,0.116,0.640,0.053,0.108,0.032,0.659,0.040,0.769
f_min.final_model.000.22.det_cont.csv,0.273,0.341,0.220,0.151,0.317,0.263,0.409,0.512,0.176,0.184,0.000,0.127,0.328,0.540,0.472,0.069,0.575,0.488,0.200,0.000,0.164,0.293,0.444,0.326,0.032,0.345,0.161
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.194,0.000,0.182,0.143,0.000,0.000,0.000,0.000,0.365,0.000,0.118,0.037,0.049,0.228,0.000,0.000,0.000,0.558,0.036,0.137,0.036,0.030,0.014,0.079,0.000
f_min.final_model.000.24.det_cont.csv,0.523,0.529,0.150,0.381,0.194,0.131,0.686,0.319,0.462,0.447,0.000,0.405,0.156,0.370,0.172,0.000,0.224,0.381,0.500,0.000,0.389,0.180,0.293,0.184,0.220,0.145,0.378
f_min.final_model.000.25.det_cont.csv,0.139,0.210,0.614,0.080,0.661,0.643,0.224,0.393,0.081,0.099,0.000,0.065,0.796,0.426,0.508,0.108,0.297,0.350,0.103,0.081,0.077,0.696,0.531,0.191,0.012,0.516,0.076
f_min.final_model.000.26.det_cont.csv,0.429,0.406,0.107,0.545,0.058,0.033,0.405,0.170,0.515,0.412,0.000,0.444,0.047,0.155,0.046,0.000,0.039,0.186,0.474,0.000,0.478,0.083,0.153,0.062,0.317,0.049,0.486
f_min.final_model.000.27.det_cont.csv,0.197,0.228,0.426,0.288,0.380,0.426,0.203,0.404,0.172,0.106,0.000,0.100,0.373,0.333,0.368,0.167,0.200,0.206,0.157,0.000,0.163,0.385,0.310,0.188,0.097,0.561,0.194
f_min.final_model.000.28.det_cont.csv,0.288,0.300,0.232,0.657,0.143,0.131,0.229,0.240,0.326,0.196,0.000,0.229,0.088,0.072,0.056,0.000,0.000,0.074,0.286,0.014,0.293,0.161,0.087,0.018,0.220,0.092,0.348
