 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.211,0.431,0.138,0.429,0.521,0.481,0.172,0.727,0.431,0.579,0.551,0.116,0.014,0.262,0.294,0.175,0.055,0.542,0.560,0.565,0.509,0.183,0.523,0.000,0.488,0.318,0.267,0.188,0.123
f_min.final_model.000.11.det_cont.csv,0.082,0.137,0.500,0.333,0.203,0.526,0.300,0.284,0.361,0.186,0.509,0.450,0.127,0.582,0.086,0.305,0.381,0.183,0.205,0.414,0.184,0.052,0.351,0.118,0.156,0.702,0.063,0.460,0.156
f_min.final_model.000.12.det_cont.csv,0.649,0.250,0.222,0.216,0.300,0.113,0.500,0.193,0.066,0.209,0.115,0.255,0.000,0.030,0.611,0.405,0.062,0.269,0.148,0.231,0.059,0.312,0.157,0.000,0.366,0.097,0.531,0.298,0.750
f_min.final_model.000.13.det_cont.csv,0.036,0.138,0.415,0.294,0.213,0.508,0.194,0.306,0.400,0.164,0.469,0.377,0.173,0.557,0.077,0.232,0.357,0.211,0.231,0.364,0.225,0.035,0.349,0.148,0.171,0.780,0.042,0.370,0.079
f_min.final_model.000.14.det_cont.csv,0.316,0.612,0.081,0.357,0.580,0.339,0.121,0.640,0.295,0.535,0.390,0.078,0.041,0.169,0.333,0.141,0.000,0.538,0.647,0.345,0.433,0.375,0.377,0.000,0.489,0.192,0.312,0.114,0.148
f_min.final_model.000.15.det_cont.csv,0.432,0.489,0.115,0.280,0.558,0.291,0.216,0.429,0.136,0.385,0.296,0.109,0.000,0.060,0.579,0.271,0.000,0.511,0.358,0.294,0.254,0.413,0.245,0.000,0.568,0.125,0.594,0.188,0.349
f_min.final_model.000.16.det_cont.csv,0.458,0.682,0.103,0.246,0.609,0.219,0.232,0.400,0.156,0.419,0.222,0.099,0.000,0.040,0.634,0.236,0.000,0.596,0.491,0.304,0.246,0.532,0.236,0.000,0.548,0.114,0.487,0.169,0.300
f_min.final_model.000.17.det_cont.csv,0.351,0.620,0.108,0.345,0.841,0.349,0.246,0.585,0.328,0.417,0.377,0.090,0.000,0.164,0.480,0.250,0.012,0.673,0.593,0.509,0.354,0.436,0.442,0.000,0.600,0.218,0.383,0.233,0.241
f_min.final_model.000.18.det_cont.csv,0.048,0.110,0.394,0.333,0.167,0.532,0.229,0.288,0.468,0.147,0.492,0.357,0.257,0.727,0.050,0.269,0.319,0.165,0.200,0.324,0.225,0.035,0.371,0.107,0.123,0.641,0.042,0.471,0.123
f_min.final_model.000.19.det_cont.csv,0.500,0.553,0.121,0.129,0.404,0.116,0.259,0.246,0.058,0.304,0.118,0.116,0.000,0.000,0.467,0.264,0.000,0.370,0.368,0.161,0.111,0.732,0.136,0.000,0.333,0.061,0.462,0.171,0.333
f_min.final_model.000.20.det_cont.csv,0.435,0.186,0.449,0.340,0.228,0.156,0.757,0.177,0.129,0.163,0.217,0.480,0.000,0.175,0.432,0.600,0.194,0.224,0.103,0.327,0.055,0.236,0.208,0.029,0.298,0.254,0.317,0.436,0.649
f_min.final_model.000.21.det_cont.csv,0.027,0.080,0.262,0.300,0.141,0.466,0.169,0.235,0.473,0.133,0.400,0.232,0.279,0.667,0.028,0.230,0.232,0.155,0.162,0.290,0.222,0.013,0.316,0.078,0.108,0.532,0.016,0.429,0.075
f_min.final_model.000.22.det_cont.csv,0.615,0.264,0.259,0.255,0.314,0.127,0.512,0.207,0.081,0.227,0.148,0.291,0.000,0.044,0.622,0.452,0.076,0.283,0.161,0.269,0.072,0.327,0.173,0.000,0.381,0.125,0.500,0.333,0.758
f_min.final_model.000.23.det_cont.csv,0.063,0.224,0.075,0.360,0.268,0.389,0.100,0.345,0.578,0.261,0.370,0.071,0.259,0.415,0.123,0.102,0.000,0.309,0.310,0.296,0.368,0.078,0.477,0.028,0.265,0.269,0.122,0.231,0.051
f_min.final_model.000.24.det_cont.csv,0.125,0.134,0.510,0.377,0.169,0.429,0.365,0.234,0.267,0.212,0.463,0.429,0.090,0.379,0.150,0.489,0.270,0.185,0.157,0.415,0.153,0.088,0.296,0.068,0.196,0.579,0.132,0.518,0.196
f_min.final_model.000.25.det_cont.csv,0.113,0.092,0.680,0.212,0.107,0.318,0.300,0.147,0.169,0.148,0.323,0.706,0.194,0.318,0.118,0.328,0.611,0.105,0.100,0.242,0.084,0.066,0.149,0.269,0.121,0.590,0.063,0.373,0.175
