 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.545,0.500,0.667,0.391,0.182,0.150,0.083,0.226,0.333,0.145,0.362,0.138,0.474,0.139,0.346,0.526,0.512,0.532,0.108,0.422,0.386,0.108,0.487,0.170,0.218,0.138
f_min.final_model.000.11.det_cont.csv,0.391,0.551,0.660,0.453,0.300,0.079,0.197,0.393,0.373,0.200,0.481,0.208,0.278,0.218,0.537,0.511,0.592,0.848,0.203,0.426,0.213,0.149,0.291,0.316,0.159,0.087
f_min.final_model.000.12.det_cont.csv,0.438,0.381,0.538,0.283,0.141,0.103,0.028,0.176,0.212,0.100,0.229,0.078,0.700,0.055,0.275,0.606,0.500,0.396,0.055,0.439,0.474,0.015,0.710,0.118,0.148,0.095
f_min.final_model.000.13.det_cont.csv,0.405,0.600,0.650,0.413,0.179,0.061,0.082,0.294,0.211,0.125,0.413,0.087,0.326,0.107,0.479,0.686,0.833,0.622,0.078,0.512,0.216,0.043,0.341,0.189,0.097,0.071
f_min.final_model.000.14.det_cont.csv,0.356,0.521,0.471,0.609,0.443,0.129,0.294,0.471,0.418,0.328,0.721,0.312,0.138,0.333,0.600,0.388,0.364,0.547,0.314,0.233,0.127,0.262,0.153,0.385,0.222,0.151
f_min.final_model.000.15.det_cont.csv,0.089,0.090,0.119,0.233,0.492,0.295,0.492,0.339,0.418,0.473,0.254,0.527,0.031,0.533,0.143,0.030,0.027,0.171,0.643,0.000,0.127,0.907,0.046,0.385,0.481,0.292
f_min.final_model.000.16.det_cont.csv,0.361,0.452,0.400,0.192,0.070,0.063,0.000,0.086,0.119,0.045,0.170,0.029,0.500,0.000,0.333,0.436,0.537,0.400,0.013,0.722,0.311,0.000,0.474,0.053,0.102,0.043
f_min.final_model.000.17.det_cont.csv,0.131,0.174,0.186,0.323,0.684,0.450,0.627,0.339,0.433,0.618,0.344,0.673,0.028,0.818,0.222,0.118,0.107,0.216,0.667,0.025,0.162,0.552,0.056,0.290,0.518,0.460
f_min.final_model.000.18.det_cont.csv,0.333,0.236,0.321,0.278,0.361,0.451,0.239,0.129,0.460,0.333,0.190,0.386,0.419,0.279,0.154,0.260,0.228,0.242,0.318,0.232,0.610,0.305,0.465,0.117,0.532,0.386
f_min.final_model.000.19.det_cont.csv,0.130,0.208,0.222,0.300,0.339,0.061,0.234,0.535,0.302,0.286,0.354,0.250,0.056,0.239,0.315,0.204,0.158,0.259,0.383,0.066,0.069,0.352,0.073,0.909,0.172,0.071
f_min.final_model.000.20.det_cont.csv,0.412,0.277,0.409,0.220,0.136,0.200,0.087,0.107,0.250,0.097,0.173,0.145,0.828,0.082,0.196,0.447,0.378,0.302,0.097,0.386,0.657,0.045,0.897,0.073,0.185,0.183
