 ,finalmodel.000.00.det_cont.csv,finalmodel.000.01.det_cont.csv,finalmodel.000.02.det_cont.csv,finalmodel.000.03.det_cont.csv,finalmodel.000.04.det_cont.csv,finalmodel.000.05.det_cont.csv,finalmodel.000.06.det_cont.csv,finalmodel.000.07.det_cont.csv,finalmodel.000.08.det_cont.csv,finalmodel.000.09.det_cont.csv,finalmodel.000.10.det_cont.csv,finalmodel.000.11.det_cont.csv,finalmodel.000.12.det_cont.csv,finalmodel.000.13.det_cont.csv,finalmodel.000.14.det_cont.csv,finalmodel.000.15.det_cont.csv,finalmodel.000.16.det_cont.csv,finalmodel.000.17.det_cont.csv,finalmodel.000.18.det_cont.csv,finalmodel.000.19.det_cont.csv,finalmodel.000.20.det_cont.csv,finalmodel.000.21.det_cont.csv,finalmodel.000.22.det_cont.csv,finalmodel.000.23.det_cont.csv,finalmodel.000.24.det_cont.csv,finalmodel.000.25.det_cont.csv,finalmodel.000.26.det_cont.csv,finalmodel.000.27.det_cont.csv,finalmodel.000.28.det_cont.csv,finalmodel.000.29.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.096,0.084,0.284,0.000,0.057,0.123,0.014,0.037,0.011,0.207,0.012,0.013,0.165,0.068,0.024,0.000,0.000,0.073,0.273,0.119,0.443,0.328,0.053,0.173,0.000,0.025,0.013,0.000,0.118,0.000
f_min.final_model.000.11.det_cont.csv,0.078,0.197,0.667,0.075,0.038,0.392,0.185,0.121,0.097,0.324,0.057,0.078,0.306,0.015,0.250,0.106,0.113,0.055,0.622,0.067,0.185,0.057,0.030,0.235,0.173,0.045,0.259,0.104,0.370,0.094
f_min.final_model.000.12.det_cont.csv,0.062,0.026,0.042,0.000,0.025,0.000,0.000,0.042,0.000,0.033,0.028,0.000,0.038,0.259,0.000,0.000,0.000,0.100,0.028,0.306,0.510,0.609,0.190,0.024,0.000,0.014,0.000,0.000,0.028,0.000
f_min.final_model.000.13.det_cont.csv,0.143,0.640,0.393,0.389,0.232,0.233,0.396,0.100,0.439,0.565,0.351,0.125,0.647,0.127,0.529,0.288,0.440,0.194,0.288,0.063,0.039,0.000,0.125,0.526,0.164,0.377,0.291,0.510,0.375,0.197
f_min.final_model.000.14.det_cont.csv,0.241,0.262,0.625,0.210,0.181,0.480,0.288,0.242,0.224,0.347,0.185,0.241,0.424,0.014,0.444,0.310,0.286,0.194,0.652,0.047,0.067,0.000,0.043,0.261,0.362,0.090,0.479,0.222,0.674,0.327
f_min.final_model.000.15.det_cont.csv,0.259,0.114,0.423,0.109,0.157,0.842,0.260,0.237,0.114,0.148,0.090,0.283,0.176,0.000,0.345,0.241,0.153,0.152,0.412,0.000,0.027,0.014,0.000,0.122,0.364,0.015,0.489,0.159,0.431,0.255
f_min.final_model.000.16.det_cont.csv,0.148,0.538,0.134,0.404,0.258,0.075,0.300,0.087,0.429,0.439,0.389,0.186,0.414,0.327,0.310,0.321,0.346,0.219,0.072,0.226,0.026,0.000,0.321,0.466,0.088,0.479,0.169,0.562,0.210,0.224
f_min.final_model.000.17.det_cont.csv,0.031,0.510,0.123,0.250,0.176,0.015,0.127,0.029,0.305,0.460,0.241,0.031,0.362,0.404,0.259,0.183,0.196,0.056,0.092,0.292,0.056,0.014,0.457,0.577,0.000,0.700,0.119,0.440,0.180,0.062
f_min.final_model.000.18.det_cont.csv,0.525,0.145,0.117,0.280,0.480,0.286,0.244,0.435,0.340,0.036,0.347,0.794,0.123,0.000,0.175,0.512,0.356,0.408,0.102,0.000,0.000,0.000,0.000,0.013,0.472,0.033,0.224,0.138,0.222,0.632
f_min.final_model.000.19.det_cont.csv,0.265,0.385,0.388,0.444,0.293,0.362,0.462,0.218,0.440,0.261,0.367,0.265,0.451,0.000,0.511,0.347,0.512,0.273,0.294,0.000,0.000,0.000,0.000,0.242,0.317,0.189,0.386,0.396,0.396,0.400
f_min.final_model.000.20.det_cont.csv,0.113,0.234,0.000,0.263,0.262,0.000,0.164,0.276,0.295,0.160,0.321,0.150,0.141,0.214,0.136,0.259,0.190,0.305,0.000,0.123,0.069,0.104,0.255,0.200,0.089,0.346,0.030,0.233,0.014,0.094
f_min.final_model.000.21.det_cont.csv,0.116,0.000,0.025,0.000,0.071,0.097,0.000,0.093,0.000,0.010,0.025,0.027,0.011,0.070,0.000,0.000,0.000,0.149,0.013,0.075,0.393,0.608,0.085,0.011,0.000,0.013,0.013,0.000,0.000,0.000
f_min.final_model.000.22.det_cont.csv,0.000,0.200,0.015,0.083,0.056,0.000,0.056,0.000,0.091,0.208,0.098,0.000,0.104,0.743,0.133,0.100,0.069,0.000,0.000,0.541,0.148,0.136,0.632,0.283,0.000,0.340,0.052,0.241,0.047,0.000
f_min.final_model.000.23.det_cont.csv,0.000,0.353,0.066,0.148,0.091,0.000,0.080,0.016,0.190,0.355,0.164,0.017,0.246,0.450,0.182,0.125,0.113,0.015,0.050,0.317,0.031,0.016,0.475,0.480,0.000,0.463,0.074,0.362,0.123,0.017
f_min.final_model.000.24.det_cont.csv,0.145,0.473,0.375,0.254,0.151,0.237,0.222,0.101,0.286,0.433,0.246,0.109,0.383,0.228,0.426,0.190,0.315,0.145,0.293,0.245,0.053,0.013,0.246,0.433,0.212,0.358,0.373,0.490,0.407,0.220
f_min.final_model.000.25.det_cont.csv,0.436,0.320,0.192,0.595,0.380,0.184,0.378,0.245,0.535,0.157,0.488,0.400,0.283,0.000,0.292,0.463,0.647,0.455,0.111,0.000,0.000,0.000,0.000,0.145,0.412,0.163,0.310,0.386,0.271,0.500
f_min.final_model.000.26.det_cont.csv,0.000,0.148,0.015,0.033,0.014,0.000,0.019,0.000,0.045,0.164,0.048,0.000,0.075,0.639,0.082,0.067,0.034,0.000,0.000,0.486,0.172,0.226,0.538,0.210,0.000,0.271,0.054,0.182,0.048,0.000
f_min.final_model.000.27.det_cont.csv,0.016,0.042,0.000,0.081,0.085,0.000,0.073,0.169,0.072,0.023,0.078,0.049,0.000,0.167,0.014,0.079,0.016,0.161,0.000,0.157,0.241,0.327,0.306,0.053,0.018,0.140,0.000,0.045,0.000,0.000
f_min.final_model.000.28.det_cont.csv,0.175,0.426,0.490,0.273,0.194,0.353,0.292,0.125,0.305,0.415,0.220,0.136,0.491,0.000,0.490,0.203,0.340,0.154,0.479,0.051,0.071,0.000,0.031,0.367,0.255,0.214,0.375,0.358,0.500,0.236
f_min.final_model.000.29.det_cont.csv,0.000,0.155,0.086,0.017,0.000,0.000,0.000,0.000,0.031,0.188,0.033,0.000,0.113,0.697,0.050,0.034,0.018,0.000,0.070,0.677,0.204,0.127,0.500,0.200,0.000,0.184,0.057,0.127,0.107,0.000
