 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.16.det_cont.csv,0.000,0.027,0.000,0.000,0.473,0.000,0.000,0.355,0.012,0.473,0.076,0.364,0.000,0.270,0.000,0.197,0.012,0.269,0.362,0.210,0.164,0.091,0.180,0.000,0.068,0.000
f_min.final_model.000.17.det_cont.csv,0.119,0.298,0.182,0.068,0.114,0.271,0.200,0.000,0.463,0.068,0.390,0.000,0.622,0.000,0.114,0.000,0.157,0.139,0.000,0.000,0.000,0.278,0.030,0.375,0.013,0.321
f_min.final_model.000.18.det_cont.csv,0.145,0.300,0.188,0.123,0.079,0.386,0.188,0.037,0.482,0.051,0.387,0.071,0.540,0.095,0.211,0.053,0.328,0.162,0.000,0.000,0.039,0.141,0.028,0.373,0.081,0.298
f_min.final_model.000.19.det_cont.csv,0.090,0.161,0.188,0.041,0.310,0.177,0.186,0.000,0.426,0.267,0.379,0.000,0.420,0.000,0.049,0.000,0.097,0.290,0.000,0.000,0.000,0.288,0.015,0.172,0.014,0.259
f_min.final_model.000.20.det_cont.csv,0.373,0.096,0.355,0.333,0.077,0.473,0.238,0.087,0.545,0.037,0.419,0.107,0.519,0.137,0.382,0.155,0.426,0.205,0.025,0.040,0.141,0.071,0.071,0.122,0.281,0.357
f_min.final_model.000.21.det_cont.csv,0.029,0.614,0.000,0.042,0.103,0.200,0.000,0.068,0.134,0.071,0.113,0.135,0.167,0.175,0.181,0.090,0.258,0.013,0.000,0.000,0.075,0.294,0.000,0.805,0.090,0.063
f_min.final_model.000.22.det_cont.csv,0.193,0.098,0.340,0.109,0.203,0.214,0.327,0.000,0.532,0.145,0.442,0.000,0.467,0.000,0.095,0.000,0.138,0.316,0.015,0.032,0.000,0.170,0.088,0.129,0.030,0.340
f_min.final_model.000.23.det_cont.csv,0.134,0.027,0.097,0.162,0.179,0.056,0.043,0.673,0.000,0.197,0.037,0.600,0.000,0.444,0.127,0.510,0.079,0.078,0.510,0.327,0.462,0.000,0.250,0.013,0.328,0.000
f_min.final_model.000.24.det_cont.csv,0.066,0.306,0.133,0.030,0.153,0.204,0.148,0.000,0.408,0.133,0.358,0.000,0.465,0.000,0.054,0.000,0.127,0.091,0.000,0.000,0.000,0.341,0.000,0.340,0.015,0.250
f_min.final_model.000.25.det_cont.csv,0.100,0.048,0.167,0.058,0.517,0.100,0.149,0.080,0.296,0.444,0.377,0.099,0.265,0.034,0.031,0.023,0.056,0.508,0.171,0.133,0.060,0.139,0.171,0.071,0.011,0.153
f_min.final_model.000.26.det_cont.csv,0.036,0.462,0.034,0.034,0.151,0.184,0.058,0.000,0.170,0.130,0.140,0.000,0.217,0.000,0.076,0.000,0.164,0.016,0.000,0.000,0.000,0.444,0.000,0.463,0.017,0.128
f_min.final_model.000.27.det_cont.csv,0.092,0.224,0.132,0.089,0.433,0.025,0.143,0.000,0.192,0.433,0.324,0.022,0.125,0.000,0.055,0.012,0.011,0.452,0.151,0.194,0.092,0.375,0.242,0.181,0.012,0.099
f_min.final_model.000.28.det_cont.csv,0.000,0.455,0.000,0.000,0.308,0.048,0.000,0.014,0.062,0.333,0.059,0.027,0.086,0.000,0.013,0.000,0.044,0.091,0.015,0.000,0.000,0.735,0.000,0.340,0.000,0.017
