 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.000,0.074,0.000,0.000,0.750,0.000,0.000,0.143,0.068,0.711,0.110,0.162,0.043,0.070,0.000,0.042,0.000,0.328,0.230,0.127,0.088,0.214,0.115,0.070,0.027,0.000
f_min.final_model.000.11.det_cont.csv,0.000,0.211,0.000,0.000,0.659,0.000,0.000,0.086,0.042,0.738,0.100,0.108,0.046,0.043,0.000,0.014,0.000,0.203,0.164,0.081,0.045,0.455,0.085,0.161,0.000,0.000
f_min.final_model.000.12.det_cont.csv,0.360,0.098,0.246,0.479,0.000,0.388,0.140,0.276,0.091,0.000,0.056,0.250,0.119,0.250,0.528,0.438,0.423,0.027,0.150,0.182,0.417,0.000,0.127,0.111,0.683,0.125
f_min.final_model.000.13.det_cont.csv,0.081,0.269,0.167,0.045,0.129,0.218,0.164,0.000,0.420,0.111,0.370,0.000,0.477,0.000,0.053,0.000,0.123,0.121,0.000,0.000,0.000,0.326,0.017,0.302,0.015,0.265
f_min.final_model.000.14.det_cont.csv,0.203,0.152,0.290,0.111,0.290,0.203,0.321,0.000,0.397,0.270,0.400,0.000,0.389,0.000,0.098,0.000,0.137,0.377,0.026,0.042,0.000,0.268,0.092,0.129,0.040,0.309
f_min.final_model.000.15.det_cont.csv,0.014,0.533,0.028,0.028,0.123,0.207,0.047,0.027,0.194,0.074,0.167,0.079,0.236,0.108,0.137,0.029,0.246,0.041,0.000,0.000,0.014,0.280,0.000,0.756,0.044,0.121
f_min.final_model.000.16.det_cont.csv,0.000,0.548,0.015,0.000,0.131,0.158,0.016,0.014,0.148,0.078,0.123,0.040,0.185,0.062,0.097,0.015,0.180,0.028,0.000,0.000,0.000,0.364,0.000,0.744,0.000,0.089
f_min.final_model.000.17.det_cont.csv,0.000,0.218,0.000,0.000,0.449,0.000,0.000,0.057,0.075,0.479,0.042,0.067,0.048,0.061,0.000,0.000,0.000,0.172,0.062,0.000,0.000,0.442,0.000,0.186,0.000,0.000
f_min.final_model.000.18.det_cont.csv,0.150,0.153,0.220,0.075,0.161,0.255,0.245,0.000,0.490,0.091,0.583,0.000,0.595,0.000,0.079,0.000,0.136,0.267,0.045,0.082,0.015,0.145,0.105,0.203,0.029,0.362
f_min.final_model.000.19.det_cont.csv,0.000,0.175,0.029,0.000,0.543,0.000,0.016,0.072,0.108,0.543,0.119,0.067,0.100,0.014,0.000,0.015,0.000,0.250,0.078,0.032,0.000,0.319,0.033,0.167,0.000,0.000
f_min.final_model.000.20.det_cont.csv,0.232,0.000,0.309,0.309,0.108,0.015,0.269,0.210,0.123,0.091,0.206,0.174,0.031,0.092,0.206,0.273,0.071,0.267,0.667,0.886,0.468,0.000,0.615,0.000,0.321,0.123
f_min.final_model.000.21.det_cont.csv,0.000,0.463,0.016,0.000,0.208,0.070,0.018,0.000,0.140,0.208,0.133,0.000,0.180,0.000,0.014,0.000,0.047,0.046,0.000,0.000,0.000,0.667,0.000,0.400,0.000,0.057
f_min.final_model.000.22.det_cont.csv,0.400,0.000,0.490,0.460,0.074,0.111,0.396,0.118,0.213,0.074,0.262,0.093,0.097,0.043,0.339,0.203,0.188,0.305,0.511,0.718,0.346,0.000,0.600,0.000,0.340,0.250
f_min.final_model.000.23.det_cont.csv,0.099,0.426,0.038,0.125,0.095,0.322,0.042,0.091,0.224,0.052,0.181,0.154,0.267,0.194,0.282,0.129,0.355,0.037,0.000,0.000,0.114,0.161,0.000,0.538,0.162,0.123
f_min.final_model.000.24.det_cont.csv,0.015,0.327,0.062,0.015,0.169,0.138,0.086,0.000,0.321,0.095,0.259,0.000,0.333,0.015,0.053,0.000,0.091,0.090,0.000,0.000,0.000,0.333,0.000,0.417,0.015,0.173
f_min.final_model.000.25.det_cont.csv,0.095,0.039,0.167,0.037,0.500,0.141,0.164,0.061,0.269,0.448,0.313,0.081,0.274,0.025,0.033,0.012,0.061,0.467,0.139,0.083,0.052,0.136,0.119,0.037,0.000,0.169
f_min.final_model.000.26.det_cont.csv,0.182,0.000,0.283,0.172,0.133,0.032,0.265,0.109,0.211,0.115,0.333,0.085,0.086,0.047,0.114,0.179,0.044,0.469,0.404,0.512,0.327,0.000,0.639,0.000,0.179,0.176
f_min.final_model.000.27.det_cont.csv,0.000,0.133,0.000,0.000,0.714,0.000,0.000,0.103,0.028,0.756,0.086,0.125,0.031,0.060,0.000,0.014,0.000,0.267,0.167,0.065,0.045,0.312,0.068,0.109,0.000,0.000
f_min.final_model.000.28.det_cont.csv,0.000,0.429,0.000,0.000,0.306,0.034,0.000,0.000,0.066,0.306,0.062,0.000,0.093,0.000,0.014,0.000,0.031,0.097,0.000,0.000,0.000,0.571,0.000,0.370,0.000,0.000
f_min.final_model.000.29.det_cont.csv,0.138,0.123,0.222,0.085,0.305,0.233,0.246,0.000,0.393,0.305,0.397,0.012,0.469,0.000,0.087,0.000,0.127,0.306,0.000,0.000,0.000,0.259,0.030,0.134,0.027,0.302
